,0
Age,0.12553164361073962
NumOfProducts,0.10924622619537873
Geography_Germany,0.018763087689641307
IsActiveMember,0.009760145353365675
Balance,0.008987878479403848
EngagementProductInteraction,0.008209596345189526
Gender_Male,0.007362575724157616
BalanceSalaryRatio,0.006825880837180239
ProductDensity,0.006127236635711168
CreditScore,0.0018584583556334373
ZeroBalance,0.0006912408042351197
EstimatedSalary,0.0004019427748240748
Geography_Spain,0.0001417956220215677
Tenure,7.218312303052995e-05
IsSenior,0.0
HasCrCard,-6.52424381238322e-05
AgeTenureInteraction,-0.0010827982579395472
